"year_month","genus","antimicrobial","I","N","R","S","Res.X","Res.N","Res.PointEst","Res.Lower","Res.Upper","Test.X","Test.N","Test.PointEst","Test.Lower","Test.Upper"
2019-01-01,"Klebsiella","AMINO",1,39,65,516,65,582,0.111683848797251,0.0885976337830729,0.139862569579998,582,621,0.93719806763285,0.91529886124746,0.953721579593391
2019-01-01,"Klebsiella","AMOXCLAV",2,81,165,373,165,540,0.305555555555556,0.268189981268303,0.345668071305733,540,621,0.869565217391304,0.840789097887932,0.893797241607373
2019-01-01,"Klebsiella","AMPAMOX",0,74,541,5,541,546,0.990842490842491,0.978744158413942,0.996082296378351,546,620,0.880645161290323,0.852752656177461,0.903849832044892
2019-01-01,"Klebsiella","CARB",0,69,4,547,4,551,0.00725952813067151,0.00282660503451687,0.018515453372335,551,620,0.888709677419355,0.861521746537244,0.911110455418633
2019-01-01,"Klebsiella","CEPH",5,73,88,455,88,548,0.160583941605839,0.132223315050245,0.193670029761183,548,621,0.882447665056361,0.854733597635355,0.90545923735434
2019-01-01,"Klebsiella","CIP",10,58,83,469,83,562,0.147686832740214,0.120748123641401,0.179409201653693,562,620,0.906451612903226,0.880961326997435,0.926936245172196
2019-01-01,"Klebsiella","COL",0,577,4,39,4,43,0.0930232558139535,0.0367716406317128,0.216027036412536,43,620,0.0693548387096774,0.0518948960981573,0.0921183905316378
2019-01-01,"Klebsiella","CTZ",9,182,71,359,71,439,0.161731207289294,0.130246677877231,0.199084408713162,439,621,0.706924315619968,0.669940078325585,0.74136425555305
2019-01-01,"Klebsiella","GENT",1,39,56,525,56,582,0.0962199312714777,0.0748419317374991,0.122893235476314,582,621,0.93719806763285,0.91529886124746,0.953721579593391
2019-01-01,"Klebsiella","GLYCO",0,615,0,5,0,5,0,0,0.434482464783175,5,620,0.00806451612903226,0.00344945693988704,0.0187380053151223
2019-01-01,"Klebsiella","HLGENT",0,620,0,0,0,0,NA,NA,NA,0,620,0,4.31010371264356e-19,0.00615774852148492
2019-01-01,"Klebsiella","LINZ",0,619,0,1,0,1,0,0,0.948706705612449,1,620,0.00161290322580645,8.27311199799203e-05,0.00907891748278443
2019-01-01,"Klebsiella","MACRO",0,620,0,0,0,0,NA,NA,NA,0,620,0,4.31010371264356e-19,0.00615774852148492
2019-01-01,"Klebsiella","MER",0,69,4,547,4,551,0.00725952813067151,0.00282660503451687,0.018515453372335,551,620,0.888709677419355,0.861521746537244,0.911110455418633
2019-01-01,"Klebsiella","MET",1,543,5,71,5,77,0.0649350649350649,0.0280530804477162,0.143164250642194,77,620,0.124193548387097,0.100524397428847,0.152490942588915
2019-01-01,"Klebsiella","MUP",0,619,0,1,0,1,0,0,0.948706705612449,1,620,0.00161290322580645,8.27311199799203e-05,0.00907891748278443
2019-01-01,"Klebsiella","NAL",0,620,0,0,0,0,NA,NA,NA,0,620,0,4.31010371264356e-19,0.00615774852148492
2019-01-01,"Klebsiella","NITRO",3,595,9,13,9,25,0.36,0.202478807744582,0.554815022518351,25,620,0.0403225806451613,0.0274593211148461,0.058846996074261
2019-01-01,"Klebsiella","PEN",0,607,5,8,5,13,0.384615384615385,0.177097077977626,0.644771084873343,13,620,0.0209677419354839,0.0122939081664433,0.0355410960622052
